,AUC,Prec@5%,Prec@10%,Prec@20%,Lift@5%,Lift@10%,Lift@20%,R²,best_iter,n_estimators,learning_rate
"Baseline (71f, full-yr) | Ridge (derived)",0.6819787985865724,0.2,0.12903225806451613,0.20967741935483872,2.1517241379310343,1.3882091212458285,2.2558398220244715,0.025943832449633275,,,
"Baseline (71f, full-yr) | Logistic Reg",0.6707688558547582,0.13333333333333333,0.16129032258064516,0.12903225806451613,1.4344827586206896,1.7352614015572858,1.3882091212458285,,,,
Exp1 Seasonal (71f) | LightGBM,0.6446935542829292,0.06666666666666667,0.16129032258064516,0.14516129032258066,0.7172413793103448,1.7352614015572858,1.5617352614015574,,,,
Rank Product | Weather-Only (Ridge),0.6400024369440722,0.2,0.22580645161290322,0.12903225806451613,2.1517241379310343,2.4293659621802,1.3882091212458285,,,,
Rank Product | Weather × Farm,0.6275130985743878,0.26666666666666666,0.25806451612903225,0.1935483870967742,2.8689655172413793,2.776418242491657,2.082313681868743,,,,
Rank Product | Z-Score Sum,0.6216644328012673,0.06666666666666667,0.25806451612903225,0.1774193548387097,0.7172413793103448,2.776418242491657,1.9087875417130145,,,,
Seasonal Rank Product | Farm-Only (LR),0.6136225173632265,0.13333333333333333,0.1935483870967742,0.16129032258064516,1.4344827586206896,2.082313681868743,1.7352614015572858,,,,
Rank Product | Farm-Only (LR),0.5144388936273911,0.13333333333333333,0.16129032258064516,0.0967741935483871,1.4344827586206896,1.7352614015572858,1.0411568409343714,,,,
Seasonal Rank Product | Weather × Farm,0.49945168758376995,0.06666666666666667,0.0967741935483871,0.12903225806451613,0.7172413793103448,1.0411568409343714,1.3882091212458285,,,,
Exp2a Reduced (full-yr) | Ridge (derived),0.4889728280735957,0.0,0.03225806451612903,0.06451612903225806,0.0,0.34705228031145713,0.6941045606229143,-0.02272142435368596,,,
Exp2a Reduced (full-yr) | Logistic Reg,0.48080906543194835,0.13333333333333333,0.06451612903225806,0.03225806451612903,1.4344827586206896,0.6941045606229143,0.34705228031145713,,,,
Exp1 Seasonal (71f) | XGBoost,0.4796515169976849,0.13333333333333333,0.0967741935483871,0.08064516129032258,1.4344827586206896,1.0411568409343714,0.8676307007786429,,,,
Exp4a XGB-tuned (full-yr) | XGB d2 lr=0.01,0.476788107712928,0.0,0.0,0.08064516129032258,0.0,0.0,0.8676307007786429,,997.0,,
Exp4a XGB-tuned (full-yr) | XGB d2 lr=0.03,0.4688680394784939,0.0,0.0,0.06451612903225806,0.0,0.0,0.6941045606229143,,937.0,,
Exp1+2 Seasonal+Reduced | Ridge (derived),0.457170707932253,0.0,0.03225806451612903,0.03225806451612903,0.0,0.34705228031145713,0.34705228031145713,-0.3262638488886418,,,
Seasonal Rank Product | Z-Score Sum,0.4510783477519191,0.06666666666666667,0.06451612903225806,0.0967741935483871,0.7172413793103448,0.6941045606229143,1.0411568409343714,,,,
Exp1 Seasonal (71f) | Logistic Reg,0.4457170707932253,0.0,0.0,0.04838709677419355,0.0,0.0,0.5205784204671857,,,,
"Baseline (71f, full-yr) | XGBoost",0.4453515291824052,0.2,0.12903225806451613,0.06451612903225806,2.1517241379310343,1.3882091212458285,0.6941045606229143,,,,
Exp4a XGB-tuned (full-yr) | XGB d2 lr=0.05,0.4419398074814183,0.0,0.03225806451612903,0.08064516129032258,0.0,0.34705228031145713,0.8676307007786429,,586.0,,
Exp2a Reduced (full-yr) | XGBoost,0.434507128061411,0.06666666666666667,0.12903225806451613,0.06451612903225806,0.7172413793103448,1.3882091212458285,0.6941045606229143,,,,
"Exp4b XGB-tuned (seasonal) | XGB d2 full (lr=0.05, n=173)",0.42122578286828316,0.06666666666666667,0.12903225806451613,0.06451612903225806,0.7172413793103448,1.3882091212458285,0.6941045606229143,,,173.0,0.05
Exp1+2 Seasonal+Reduced | LightGBM,0.41726574875106615,0.0,0.06451612903225806,0.06451612903225806,0.0,0.6941045606229143,0.6941045606229143,,,,
"Exp4a XGB-tuned (full-yr) | XGB d2 full (lr=0.01, n=997)",0.4149506518825393,0.0,0.03225806451612903,0.04838709677419355,0.0,0.34705228031145713,0.5205784204671857,,,997.0,0.01
Exp1+2 Seasonal+Reduced | XGBoost,0.4131838674302425,0.0,0.03225806451612903,0.06451612903225806,0.0,0.34705228031145713,0.6941045606229143,,,,
Exp1+2 Seasonal+Reduced | Logistic Reg,0.41196539539417576,0.06666666666666667,0.06451612903225806,0.12903225806451613,0.7172413793103448,0.6941045606229143,1.3882091212458285,,,,
Exp1 Seasonal (71f) | Ridge (derived),0.39892774460826125,0.26666666666666666,0.22580645161290322,0.12903225806451613,2.8689655172413793,2.4293659621802,1.3882091212458285,-0.6647499052472208,,,
Exp2a Reduced (full-yr) | LightGBM,0.38863165590349696,0.13333333333333333,0.12903225806451613,0.06451612903225806,1.4344827586206896,1.3882091212458285,0.6941045606229143,,,,
Exp4b XGB-tuned (seasonal) | XGB d2 lr=0.05,0.3876568782746436,0.0,0.0,0.06451612903225806,0.0,0.0,0.6941045606229143,,173.0,,
Exp4b XGB-tuned (seasonal) | XGB d2 lr=0.03,0.36548068721822835,0.0,0.03225806451612903,0.04838709677419355,0.0,0.34705228031145713,0.5205784204671857,,22.0,,
"Baseline (71f, full-yr) | LightGBM",0.36018033386133785,0.06666666666666667,0.12903225806451613,0.11290322580645161,0.7172413793103448,1.3882091212458285,1.2146829810901,,,,
Exp4b XGB-tuned (seasonal) | XGB d2 lr=0.01,0.3486657731205069,0.0,0.03225806451612903,0.06451612903225806,0.0,0.34705228031145713,0.6941045606229143,,21.0,,
Seasonal Rank Product | Weather-Only (Ridge),0.32185938832703787,0.13333333333333333,0.06451612903225806,0.03225806451612903,1.4344827586206896,0.6941045606229143,0.34705228031145713,,,,
