Sr. No,Date of data collection,pond_id,region,Enrollment mechanism,Culture change,Existing practices,Notes (existing practices),Fertilizers used,Notes,Added by,Property area in acres,Pond area in acres,Depth in meters,Status,Measurements,Equipment,Feed type,Feed source,Feed brand or name
315,07/01/2025,pond_3da22c74,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,12.0,11.2,1.5,Treatment,11,"6 aerator, 1 water pump",DORB,Local market,
314,06/11/2025,pond_d2e83c32,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.0,3.2,1.5,Treatment,11,"5 aerator, 1 water pump",DORB,Local market,
313,06/11/2025,pond_b36b9eee,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,54.0,48.0,1.5,Treatment,8,1 water pump,DORB,Local market,
312,06/11/2025,pond_583a1334,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,57.0,51.0,1.5,Treatment,11,"3 aerator, 1 water pump",DORB,Local market,
311,06/09/2025,pond_6a5ab9d0,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,3.0,2.9,1.5,Treatment,12,1 water pump,DORB,Local market,
310,06/09/2025,pond_2855b437,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,20.0,18.0,1.5,Treatment,8,1 water pump,DORB,Local market,
309,06/09/2025,pond_b9aedd06,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,3.0,2.8,1.5,Treatment,8,1 water pump,DORB,Local market,
308,06/09/2025,pond_6fa8a2a5,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.0,3.6,1.5,Treatment,12,1 water pump,DORB,Local market,
307,06/09/2025,pond_0a3f9f76,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,30.0,28.0,1.5,Treatment,10,1 water pump,DORB,Local market,
306,06/09/2025,pond_868241e3,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,14.0,12.5,1.5,Treatment,5,1 water pump,DORB,Local market,
305,06/09/2025,pond_a72a9ad7,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,6.0,5.7,1.5,Treatment,7,1 water pump,DORB,Local market,
304,06/09/2025,pond_715ebd01,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,38.0,1.5,Treatment,9,"4 aerator, 1 water pump",DORB,Local market,
303,06/09/2025,pond_5c0b4414,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,50.0,48.0,1.5,Treatment,9,"5 aerator, 1 water pump",DORB,Local market,
302,06/03/2025,pond_319c1ff7,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,16.0,15.0,1.5,Treatment,16,1 water pump,DORB,National supplier,
301,06/03/2025,pond_56e8a695,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,31.0,29.0,1.5,Treatment,17,1 water pump,DORB,National supplier,
299,06/03/2025,pond_35f0d376,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,50.0,44.0,1.5,Treatment,15,1 water pump,DORB,National supplier,
298,05/27/2025,pond_304a9d41,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,3.0,2.8,1.5,Treatment,12,"3 aerator, 1 water pump",DORB,National supplier,
297,05/05/2025,pond_e95651d9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.5,4.2,1.5,Treatment,10,1 water pump,DORB,Local market,
296,05/05/2025,pond_05f65197,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.0,3.5,1.5,Treatment,6,1 water pump,DORB,Local market,
295,05/05/2025,pond_17b6d1f2,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,60.0,54.0,1.5,Treatment,10,1 water pump,DORB,Local market,
294,05/05/2025,pond_a1a3333d,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,38.0,1.5,Treatment,10,1 water pump,DORB,Local market,
293,05/05/2025,pond_d81b6f9f,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,10.0,8.5,1.5,Treatment,6,1 water pump,DORB,Local market,
292,03/24/2025,pond_439eae87,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,9.0,8.0,1.5,Treatment,25,1 water pump,DORB,National supplier,
291,03/24/2025,pond_16becad9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,16.0,13.5,1.5,Treatment,26,1 water pump,DORB,National supplier,
290,03/24/2025,pond_166e730f,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,36.5,1.5,Treatment,23,1 water pump,DORB,National supplier,
284,03/19/2025,pond_05d9df8f,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,10.0,9.5,1.5,Treatment,12,2 water pump,DORB,Local market,
283,03/19/2025,pond_251e0d5b,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,35.0,30.0,1.5,Treatment,9,2 water pump,DORB,Local market,
281,03/19/2025,pond_17e22e23,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,10.0,9.5,1.5,Control,17,1 water pump,DORB,Local market,
285,03/18/2025,pond_7472ede8,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,11.0,10.3,1.5,Treatment,7,"1 aerator, 1 water pump",DORB,Local market,
289,03/17/2025,pond_e797c43a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,15.0,13.5,1.5,Treatment,23,1 water pump,DORB,Local market,
288,03/17/2025,pond_e25b2cfc,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,16.0,14.6,1.5,Control,25,"2 aerator, 1 water pump",DORB,Local market,
287,03/12/2025,pond_2fd8194c,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,37.5,1.5,Treatment,2,2 water pump,DORB,Local market,
286,03/12/2025,pond_cf980f71,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,45.0,42.5,1.5,Treatment,17,2 water pump,DORB,Local market,
279,02/28/2025,pond_47f64c85,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,11.0,10.0,1.5,Treatment,17,1 water pump,DORB,Local market,
280,02/25/2025,pond_b296eebf,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,38.5,1.5,Treatment,30,1 water pump,DORB,National supplier,
278,02/24/2025,pond_60e4cad8,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,12.0,10.5,1.5,Treatment,17,1 water pump,DORB,Local market,
270,02/20/2025,pond_6526e587,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,35.0,30.0,1.5,Treatment,9,1 water pump,DORB,Local market,
277,02/14/2025,pond_8902ecd3,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,25.0,22.0,1.5,Control,30,1 water pump,DORB,Local market,
276,02/14/2025,pond_4a880fc8,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,30.0,28.5,1.5,Control,26,"2 aerator, 1 water pump",DORB,Local market,
275,02/14/2025,pond_7eadb9bf,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,35.0,1.5,Control,28,"3 aerator, 1 water pump",DORB,Local market,
274,02/14/2025,pond_9644548f,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,25.0,21.5,1.5,Control,28,"1 aerator, 1 water pump",DORB,Local market,
273,02/14/2025,pond_2781ed8d,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,1.5,1.1,1.5,Treatment,16,1 water pump,DORB,Local market,
272,02/14/2025,pond_a32076ad,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,6.0,5.3,1.5,Treatment,20,1 water pump,DORB,Local market,
271,02/14/2025,pond_b6292420,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,5.0,4.2,1.5,Treatment,20,1 water pump,DORB,Local market,
256,02/07/2025,pond_b3ee7ac9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,25.0,23.5,1.5,Treatment,13,1 water pump,DORB,Local market,
269,02/06/2025,pond_5f07dc7a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,11.0,10.5,1.5,Treatment,28,1 water pump,DORB,Local market,
268,02/06/2025,pond_44865e41,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,8.0,7.0,1.5,Treatment,26,1 water pump,DORB,Local market,
257,02/06/2025,pond_74ea5a99,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,22.0,19.5,1.5,Treatment,28,1 water pump,DORB,Local market,
255,02/05/2025,pond_0b61fd61,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,10.0,9.0,1.5,Treatment,14,1 water pump,DORB,Local market,
254,01/21/2025,pond_46bbdb3a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,11.0,10.1,1.5,Treatment,21,1 water pump,DORB,National supplier,
253,01/21/2025,pond_c5b49325,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,6.0,5.0,1.5,Treatment,19,1 water pump,DORB,National supplier,
252,01/21/2025,pond_69509b5b,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,22.0,20.0,1.5,Treatment,21,1 water pump,DORB,Local market,
249,01/02/2025,pond_fb9877ae,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,18.0,17.0,1.5,Treatment,27,1 water pump,DORB,Local market,
248,01/02/2025,pond_522cd38a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,22.0,19.0,1.5,Treatment,12,1 water pump,DORB,Local market,
247,01/02/2025,pond_08867f11,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,50.0,43.0,1.5,Treatment,27,1 water pump,DORB,National supplier,
246,01/02/2025,pond_f5ca6183,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,8.0,7.7,1.5,Treatment,16,1 water pump,DORB,National supplier,
244,12/20/2024,pond_e6185c34,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,25.0,22.5,1.5,Control,42,1 water pump,DORB,Local market,
245,12/18/2024,pond_0b0963e5,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,6.0,5.6,1.5,Treatment,26,1 water pump,DORB,Local market,
243,12/11/2024,pond_27785ee9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,2.0,1.5,1.5,Treatment,30,,DORB,Local market,
242,12/11/2024,pond_690fd7d6,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,8.0,6.75,1.5,Treatment,34,1 water pump,DORB,Local market,
241,12/11/2024,pond_90dd090b,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",,Praveen,30.0,27.0,1.5,Control,44,1 water pump,DORB,Local market,
240,11/09/2024,pond_02b8575a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Lime, Sanitizers, Tilapia medicine",,Praveen,26.0,24.7,1.5,Treatment,41,1 water pump,DORB,National supplier,
239,11/09/2024,pond_adeaf27b,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Lime, Sanitizers, Tilapia medicine",,Praveen,32.0,29.0,1.5,Treatment,41,1 water pump,DORB,National supplier,
238,11/09/2024,pond_21320075,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Lime, Sanitizers, Tilapia medicine",,Praveen,34.0,32.5,1.5,Treatment,45,1 water pump,DORB,National supplier,
237,11/04/2024,pond_c2dd8e7c,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Potash",,Praveen,50.0,44.0,1.5,Control,28,1 water pump,DORB,Local market,
235,10/05/2024,pond_369dc183,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow manure",,Praveen,22.0,21.2,1.5,Treatment,22,"2 aerator, 1 water pump",DORB,Local market,
234,10/05/2024,pond_7ef7fef9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow manure",,Praveen,1.5,1.23,1.5,Treatment,16,"1 aerator, 1 water pump",DORB,Local market,
233,10/05/2024,pond_bed02137,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow dung",,Praveen,2.0,1.35,1.5,Treatment,15,"1 aerator, 1 water pump",DORB,Local market,
232,10/01/2024,pond_7917cb8e,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, Water probiotics (PS)",,Praveen,4.0,3.2,1.5,Treatment,2,1 water pump,DORB,Local market,
231,10/01/2024,pond_195e5b24,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, Water probiotics (PS)",,Praveen,25.0,23.5,1.5,Treatment,37,2 water pump,DORB,Local market,
230,10/01/2024,pond_5557d8af,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, Water probiotics (PS)",,Praveen,18.0,16.8,1.5,Treatment,24,2 water pump,DORB,Local market,
229,10/01/2024,pond_f6d09111,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,2.0,1.5,1.5,Treatment,35,1 water pump,DORB,Local market,
228,10/01/2024,pond_d7feb952,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,7.0,6.3,1.5,Treatment,28,1 water pump,DORB,Local market,
227,09/18/2024,pond_d5629838,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,30.0,28.7,1.5,Control,39,1 water pump,DORB,National supplier,
226,09/18/2024,pond_49ea61c0,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,20.0,18.5,1.5,Treatment,21,1 water pump,DORB,National supplier,
225,09/18/2024,pond_c01f770d,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,18.0,16.5,1.5,Control,44,1 water pump,DORB,National supplier,
224,09/18/2024,pond_aae02d77,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor,,Praveen,9.0,8.0,1.5,Treatment,24,2 water pump,DORB,Local market,
223,09/18/2024,pond_ef747ffa,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Pond preparation",,"Poultry waste, Cow dung",,Praveen,50.0,47.5,1.5,Treatment,12,"4 aerator, 2 water pump",DORB,Local market,
222,09/18/2024,pond_3a0067e4,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,5.0,4.75,1.5,Treatment,29,1 water pump,DORB,National supplier,
221,09/18/2024,pond_c2458988,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash. Urea, Cow manure",,Praveen,20.0,17.3,1.5,Treatment,27,1 water pump,DORB,National supplier,
220,09/13/2024,pond_05edabe9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Urea, Cow manure",,Praveen,20.0,18.8,1.5,Treatment,24,1 water pump,DORB,National supplier,
219,09/13/2024,pond_6772b310,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Potash, Cow manure",,Praveen,10.0,9.0,1.5,Treatment,36,1 water pump,DORB,National supplier,
218,09/13/2024,pond_cc547e32,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Potash, Cow manure",,Praveen,5.0,3.7,1.5,Treatment,41,1 water pump,DORB,National supplier,
217,09/13/2024,pond_80e22f42,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Urea, Cow manure",,Praveen,30.0,27.0,1.5,Treatment,52,1 water pump,DORB,National supplier,
215,08/29/2024,pond_60dd3196,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",,Praveen,5.0,3.65,1.5,Treatment,27,1 water pump,DORB,National supplier,
214,08/29/2024,pond_41a4dead,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",,Praveen,43.0,36.7,1.5,Treatment,46,1 water pump,DORB,National supplier,
213,08/29/2024,pond_d8d30ad3,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",,Praveen,35.0,31.0,1.5,Treatment,38,1 water pump,DORB,National supplier,
212,08/29/2024,pond_283dc502,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow manure",,Praveen,46.0,37.0,1.5,Treatment,39,1 water pump,DORB,National supplier,
210,08/29/2024,pond_44f24b9a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,25.0,22.5,1.5,Treatment,34,"6 aerator, 1 water pump",DORB,National supplier,
209,08/29/2024,pond_cc57546e,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,16.0,14.8,1.5,Control,41,1 water pump,DORB,National supplier,
208,08/29/2024,pond_f5213f43,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",,Praveen,13.0,11.5,1.5,Control,42,1 water pump,DORB,National supplier,
207,08/29/2024,pond_984a8534,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,"DAP, Super Phosphate",,Chaitanya,20.0,18.0,2.0,Treatment,12,"2 aerator, 2 water pump, 1 Motor Boat",DORB,National supplier,
206,08/29/2024,pond_dd9c12ef,Eluru,Organic,,"Weighing and measuring fish every two months, Water quality measurement during disease outbreak",,"Super Phosphate, DAP",,Chaitanya,7.0,5.5,2.0,Treatment,12,"1 water pump, 1 Motor boat",DORB,National supplier,
205,08/14/2024,pond_4e07e1a3,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor fertilizers,,Chaitanya,40.0,32.2,2.0,Control,34,"1 water pump, 1 Motor boat",DORB,National supplier,
204,08/14/2024,pond_a59c9ac7,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor Fertilizers,,Chaitanya,50.0,44.6,2.0,Control,29,"1 water pump, 1 Motor Boat",DORB,National supplier,
203,08/14/2024,pond_a6578b7f,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Gromor fertilizers,,Chaitanya,33.0,31.45,2.0,Control,24,"4 aerator, 1 water pump, 1 Motor Boat",DORB,National supplier,
198,06/26/2024,pond_5c2246d5,Eluru,Organic,N0,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Stocked the fishes from his own breed out ponds,Chaitanya,50.0,34.0,2.0,Treatment,8,"3 aerator, 3 water pump",DORB,Local market,
197,06/26/2024,pond_a47e2d27,Eluru,Organic,No,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow Manure,Farmer stocked the fishes from his own nursery pond,Chaitanya,21.0,16.0,2.0,Treatment,8,1 water pump,DORB,Local market,
196,06/26/2024,pond_d85b342c,Eluru,Organic,No,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow Manure,Stocked the fishes from his own nursery ponds,Chaitanya,22.0,15.72,2.0,Treatment,15,"1 water pump, Aeration Motor boat",DORB,Local market,
200,06/21/2024,pond_988c1692,Eluru,Organic,No,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,,,Chaitanya,25.0,23.97,1.5,Treatment,18,"2 water pump, One aeration motor boat",DORB,Local market,
201,06/21/2024,pond_348a1d24,Eluru,Organic,No,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow manure,,Chaitanya,50.0,45.88,2.0,Control,39,"3 water pump, Two boat motor pumps",DORB,Local market,
199,06/17/2024,pond_a80e42b6,Eluru,Organic,No,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Minerals,,Chaitanya,5.0,4.37,1.5,Treatment,19,1 water pump,DORB,Local market,
193,06/10/2024,pond_9252e874,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure, DAP, Super Phosphate",,Chaitanya,10.0,9.2,1.5,Treatment,45,1 water pump,DORB,Local market,
192,06/10/2024,pond_f9218e7b,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow Manure. DAP, Super Phosphate",,Chaitanya,20.0,18.1,1.5,Treatment,44,"4 aerator, 1 water pump",DORB,Local market,
190,06/09/2024,pond_8a8b9562,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow Manure,,Chaitanya,12.0,11.08,1.5,Treatment,35,1 water pump,DORB,Local market,
195,06/07/2024,pond_8bf8a86a,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Gromor Fertilizers,,Chaitanya,4.5,2.74,1.5,Treatment,24,"1 aerator, 1 water pump",DORB,Local market,
194,06/07/2024,pond_e2db7a6b,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,Gromor Fertilizers,,Chaitanya,4.0,3.0,1.5,Treatment,40,1 water pump,DORB,Local market,
189,05/10/2024,pond_74f8f457,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",,Chaitanya,9.0,7.04,1.5,Treatment,11,3 aerator,Mash,Local market,
