Sr. No,Date of data collection,pond_id,region,Enrollment mechanism,Culture change,Existing practices,Notes (existing practices),Fertilizers used,Notes,Added by,Property area in acres,Pond area in acres,Depth in meters,Status,Measurements,Equipment,Feed type,Feed source,Feed brand or name
188,05/10/2024,pond_a5c0fc15,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Urea, DAP",,Chaitanya,11.0,8.94,1.5,Treatment,11,"4 aerator, 1 water pump",Mash,Local market,
187,05/10/2024,pond_853f211a,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",,Chaitanya,17.0,13.5,1.5,Treatment,7,2 aerator,Mash,Local market,
186,05/10/2024,pond_f69b5a88,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",,Chaitanya,16.0,13.89,1.5,Treatment,16,"2 aerator, 1 water pump",Mash,Local market,
185,05/10/2024,pond_3d8cae54,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Urea, DAP",,Chaitanya,30.0,24.0,1.5,Treatment,21,"3 aerator, 1 water pump, Motor boat with aeration",Mash,Local market,
181,05/06/2024,pond_bee2e7f5,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,,,Chaitanya,4.0,2.72,1.5,Treatment,34,"2 aerator, 1 water pump",Mash,Local market,
179,04/26/2024,pond_55356fc9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow and Poultry Manure,,Chaitanya,25.0,21.2,1.5,Control,53,"1 aerator, 1 water pump, 1 Motor Boat",Mash,Local market,
178,04/26/2024,pond_ac7bb683,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Cow and Poultry Manure,,Chaitanya,24.0,17.2,1.5,Treatment,37,"1 aerator, 1 water pump, Motor Boat",Mash,Local market,
180,04/22/2024,pond_e5db19e4,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor and Cow Manure,,Chaitanya,7.0,7.0,1.5,Treatment,27,1 water pump,Mash,Local market,
177,03/22/2024,pond_48b74e47,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow and Poultry Manure,,Chaitanya,35.0,28.28,1.5,Treatment,17,"2 aerator, 1 water pump",Mash,Local market,
176,03/22/2024,pond_cab7ba82,Eluru,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Cow and Poultry Manure,,Chaitanya,10.0,8.5,1.0,Treatment,29,1 water pump,Mash,Local market,
175,03/21/2024,pond_a0b42194,Eluru,Organic,Grow out to breed out in November 2025,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,Gromor fertilizers,,Chaitanya,13.0,13.0,1.5,Treatment,38,"1 aerator, 1 water pump",Mash,Local market,
174,03/21/2024,pond_b08d22b5,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,No,,Chaitanya,1.5,0.85,1.0,Treatment,34,1 water pump,Mash,Local market,
173,03/21/2024,pond_7dded911,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,No,,Chaitanya,2.5,1.5,1.0,Treatment,34,1 water pump,Mash,Local market,
171,03/21/2024,pond_bdf8fe72,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish every two months",,"Fermented DORB, Probiotics",,Chaitanya,7.0,6.6,2.0,Treatment,41,1 water pump,Mash,Local market,
170,03/21/2024,pond_fc8ef4d2,Eluru,Organic,Grow out to breed out in September 2025,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Fermented DORB, Probiotics",,Chaitanya,18.0,15.0,2.0,Treatment,18,"4 aerator, 1 water pump",Mash,Local market,
166,02/27/2024,pond_3ed934a6,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,,Chaitanya,10.0,8.5,2.0,Treatment,24,"3 aerator, 1 water pump",Pelleted feed (floating),National supplier,
168,02/26/2024,pond_b7082dc1,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,,Chaitanya,1.5,1.0,1.5,Treatment,39,"2 aerator, 1 water pump",Mash,Local market,
164,02/23/2024,pond_a4a1da02,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor fertilizers,,Chaitanya,9.0,7.5,1.5,Treatment,11,,Mash,Local market,
163,02/23/2024,pond_f86d5d94,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor fertilizers,,Chaitanya,47.0,40.7,2.0,Control,41,1 water pump,Mash,Local market,
158,12/18/2023,pond_4afa4e4f,Eluru,Organic,,Weighing and measuring fish once a month,,,,Chaitanya,10.0,9.07,1.5,Treatment,35,1 water pump,Mash,"Local market, National supplier",
157,12/18/2023,pond_2e0e9d1a,Eluru,Organic,,Weighing and measuring fish once a month,,,,Chaitanya,10.0,8.97,2.0,Treatment,66,1 water pump,Mash,Local market,
151,11/19/2023,pond_8fd1554c,Eluru,Organic,,Weighing and measuring fish every two months,,"DAP, Super, Potash",,Sanjay,6.0,4.65,1.8,Treatment,25,2 water pump,DORB,Local market,
150,11/18/2023,pond_727e3097,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP,Probiotics",,Sanjay,6.0,4.26,2.0,Treatment,53,,DORB,Local market,
143,09/20/2023,pond_f18f1d57,Nellore,PwC,,Weighing and measuring fish once a month,,"Probiotic, Magnesium",,Chaitanya,2.4,2.09,1.5,Treatment,36,"1 aerator, 2 water pump",Pelleted feed (floating),National supplier,Abis
144,09/20/2023,pond_aef38b14,Nellore,PwC,,Weighing and measuring fish once a month,,Probiotic and Minerals,,Chaitanya,7.0,5.55,1.5,Treatment,46,"2 aerator, 2 water pump",Pelleted feed (floating),National supplier,Abis
145,09/20/2023,pond_4fc9a5af,Nellore,Organic,,Weighing and measuring fish once a month,,,,Chaitanya,1.0,0.86,1.5,Treatment,32,1 water pump,Pelleted feed (floating),National supplier,Abis
146,09/20/2023,pond_d1de1045,Nellore,Organic,,Weighing and measuring fish once a month,,,,Chaitanya,2.5,2.03,2.0,Treatment,47,"2 aerator, 2 water pump",Pelleted feed (floating),Local market,Icon
142,09/20/2023,pond_aae69640,Nellore,Organic,,Weighing and measuring fish once a month,,,,Chaitanya,5.0,4.27,2.0,Treatment,33,"2 aerator, 4 water pumps",Pelleted feed (floating),National supplier,Abis
139,09/05/2023,pond_dc98e449,Eluru,Organic,NO,Weighing and measuring fish once a month,,"DAP, Super, Potash",,Sai,14.0,11.8,3.0,Control,82,"1 water pump, Motor Boat","Pelleted feed (sinking), DORB",Local market,
136,08/30/2023,pond_f1f0953d,Eluru,Organic,NO,Disease analysis by sending dead fish to lab,,"Cow Manure, Potash","Fish in the pond are suffering with disease outbreak, farmer is unsure about disease and he said he will let us know.",Sai,53.0,44.07,2.0,Control,52,,"Pelleted feed (sinking), DORB",Local market,Local Market
135,08/25/2023,pond_ca25b296,Eluru,Organic,NO,Weighing and measuring fish once a month,,"DAP, Super, Potash, Urea
Potash",Farmer have 4 Aerators,Sai,9.0,7.81,2.0,Treatment,71,3 aerator,DORB,Local market,
132,08/22/2023,pond_89aabef8,Eluru,Organic,NO,Weighing and measuring fish once a month,,"DAP,Probiotics",,Sai,8.0,7.36,2.5,Treatment,57,,"Pelleted feed (sinking), DORB",Local market,
133,08/22/2023,pond_b3126696,Eluru,Organic,NO,Weighing and measuring fish once a month,,"DAP,Probiotics",,Sai,20.0,16.17,2.5,Control,81,2 water pump,"Pelleted feed (sinking), DORB",Local market,
129,08/11/2023,pond_dda2c111,Nellore,PwC,Changed to Breed out from Grow out Feb 2024,Weighing and measuring fish once a month,,No,,Chandu,4.0,3.49,2.0,Treatment,45,"2 aerator, 1 water pump",Pelleted feed (floating),National supplier,IB Ibis
130,08/11/2023,pond_09f0cd92,Nellore,PwC,,Weighing and measuring fish once a month,,,,Chandu,7.0,6.24,2.0,Treatment,50,2 water pump,Pelleted feed (floating),International supplier,Cargill
131,08/11/2023,pond_7fc56232,Nellore,PwC,,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,No,,Chandu,5.0,4.32,1.5,Treatment,50,2 water pump,Pelleted feed (floating),International supplier,Cargill
126,08/09/2023,pond_4cef5872,Nellore,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Pond preparation",,No,,Chandu,3.5,2.84,1.5,Treatment,49,1 water pump,Pelleted feed (floating),National supplier,Kingfish
127,08/09/2023,pond_ba85724b,Nellore,Organic,Grow out to rearing in November 2025 ,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,No,,Chandu,2.5,2.13,1.5,Treatment,26,1 water pump,Pelleted feed (floating),National supplier,Kingfish
128,08/09/2023,pond_f569e116,Nellore,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",Water quality measurement when there is a disease outbreak,,,Chandu,3.0,2.8,1.5,Treatment,36,"2 aerator, 1 water pump",Pelleted feed (floating),National supplier,IB Ibis
125,08/08/2023,pond_51789df8,Eluru,Organic,NO,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Single super phosphate,,Sai,6.0,5.03,11.0,Treatment,49,1 water pump,DORB,Local market,Local Market
124,08/08/2023,pond_c7407a79,Eluru,Organic,Breed out to Grow out from December 2025,Water quality measurement during disease outbreak,Unsure/ do not remember,"Urea
Single super phosphate
Potash
Magnesium",Farmer have 5 Aerators,Sai,24.0,21.64,2.0,Treatment,66,"3 aerator, 1 water pump","Pelleted feed (floating), DORB",Local market,Local Market
119,08/08/2023,pond_1dbb9f8d,Nellore,Organic,,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak, Pond preparation",,No,,Chandu,2.0,1.75,1.5,Treatment,38,2 water pump,Pelleted feed (floating),Local market,
120,08/08/2023,pond_bd0e0d33,Eluru,Organic,Breed out to Nursey in November 2025,Water quality measurement during disease outbreak,,Single super phosphate,,Sai,6.0,4.12,2.5,Treatment,52,2 water pump,"Pelleted feed (sinking), DORB",Local market,Krishna Prabhas
121,08/08/2023,pond_a434fd56,Eluru,Organic,NO,Water quality measurement during disease outbreak,,Single super phosphate,,Sai,1.0,0.7,1.5,Treatment,51,1 water pump,"Mash, DORB",Local market,Local Market
122,08/08/2023,pond_2ec8980d,Nellore,Organic,,Weighing and measuring fish once a month,,No,,Chandu,4.5,4.08,1.5,Treatment,47,3 water pump,Pelleted feed (floating),Local market,
123,08/08/2023,pond_07ed9225,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement when there is a disease outbreak,No,Has 3 Aerators,Chandu,1.5,1.22,2.5,Treatment,23,"3 aerator, 2 water pump",Pelleted feed (floating),Local market,
117,08/07/2023,pond_ac78f7f3,Eluru,Organic,,Water quality measurement during disease outbreak,,"Urea
Single super phosphate
Potash
Zinc",,Sai,20.0,16.57,2.0,Treatment,55,2 aerator,DORB,Local market,
118,08/07/2023,pond_5e81f369,Eluru,Organic,,Water quality measurement during disease outbreak,Water quality measurement when there is a disease outbreak,"Urea
Single super phosphate
Potash
Zinc",,Sai,28.0,22.52,2.0,Treatment,70,"2 aerator, 2 water pump",DORB,Local market,Local Farmer
116,07/26/2023,pond_da3b5851,Nellore,Organic,NO,"Pond preparation, Weighing and measuring fish once a month, Water quality measurement during disease outbreak",Applied Iodine,,,Chaitanya,2.0,1.81,1.5,Treatment,39,"2 aerator, 2 water pump",Pelleted feed (floating),Local market,GODREJ
112,07/26/2023,pond_1bf4ea64,Nellore,Organic,NO,"Pond preparation, Weighing and measuring fish once a month, Water quality measurement during disease outbreak",ADDED BLEACH AND DOLOMITE,No,,Chaitanya,2.0,1.42,1.5,Treatment,33,1 water pump,Mash,Local market,
113,07/26/2023,pond_a3c9d163,Nellore,Organic,NO,Pond preparation,ADDED BLEACH AND DOLOMITE,No,,Chaitanya,3.0,2.32,1.5,Treatment,35,2 water pump,Mash,Local market,
114,07/26/2023,pond_10b0b2f6,Nellore,Organic,NO,Pond preparation,ADDED BLEACH AND DOLOMITE,No,,Chaitanya,2.0,1.49,1.5,Treatment,45,1 water pump,Mash,Local market,
115,07/26/2023,pond_d252b4e3,Nellore,Organic,NO,Pond preparation,ADDED BLEACH AND DOLOMITE,No,,Chaitanya,1.0,0.66,1.5,Treatment,51,4 WATER PUMPS,Mash,Local market,LOCAL MARKET
104,12/16/2022,pond_ee1be8cb,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Disease analysis by sending dead fish to lab, Weighing and measuring fish once a month",Water quality measurement once a month,"Ammonium sulphate
Triple super phosphate",,Maneesh,50.0,49.8,2.5,Control,77,"3 aerator, 2 water pump, water re circulation boat",Mash,Local market,PATTABHI FEED
105,12/16/2022,pond_09e8bfb8,Eluru,Organic,NO,"Pond preparation, Physical welfare assessment",Water quality measurement once a month,"Triple super phosphate
organic manures from local supplier.",,Maneesh,3.0,2.66,2.0,Treatment,78,2 aerator,Mash,Local market,NRK FEEDS
106,12/16/2022,pond_e78b9c9a,Eluru,Organic,NO,"Pond preparation, Physical welfare assessment",Water quality measurement once a month,"Triple super phosphate
Potash
organic manures from local supplier.",has 5 aerators and 2 submersible aerators followed by a re circulation boat,Maneesh,10.0,8.73,2.0,Treatment,90,5 aerator,Mash,Local market,NRK FEEDS
107,12/16/2022,pond_0c63298a,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement twice a month,"Ammonium sulphate
Triple super phosphate",,Maneesh,25.0,22.46,2.5,Treatment,76,"3 aerator, 2 water pump",Mash,"Local market, Self made",NRK FEEDS
111,12/16/2022,pond_8e6046b4,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Urea
Ammonium sulphate
Triple super phosphate",,Maneesh,50.0,46.94,2.5,Control,88,"3 aerator, 3 water pump",Mash,Local market,PATTABHI FEED
103,12/09/2022,pond_87edd7c9,Eluru,Organic,No,"Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate",,Maneesh,22.0,19.09,2.0,Treatment,56,,Mash,Local market,NRK feeds
101,12/08/2022,pond_bf58902e,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month, Weighing and measuring fish every two months, Weighing and measuring fish every three months",Weighing and measuring fish once during a cycle,,6 aerators,Nagaraju B.,4.0,3.44,2.0,Treatment,53,"6 aerator, 2 water pump",Pelleted feed (floating),Local market,
100,12/07/2022,pond_1d249330,Nellore,Organic,Grow out to breed out in January 2024,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,,,Nagaraju B.,1.5,1.05,2.0,Treatment,43,"3 aerator, 2 water pump",Pelleted feed (floating),Local market,
95,12/06/2022,pond_11799705,Eluru,Organic,Changed from Breed out to Grow out in October 2023,Weighing and measuring fish once a month,Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Ammonium sulphate
Triple super phosphate
Potash",,Maneesh,22.0,19.63,2.0,Treatment,72,1 water pump,Mash,Local market,Vallabha feed suppliers
97,12/06/2022,pond_20c3d3aa,Eluru,Organic,NO,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate
Potash",,Maneesh,10.0,8.02,2.0,Treatment,62,1 water pump,Mash,Local market,NRK FEEDS
98,12/06/2022,pond_eb2903bd,Eluru,Organic,NO,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate
Potash",,Maneesh,18.0,15.03,2.0,Treatment,71,1 water pump,Mash,Local market,NR FEEDS
94,12/01/2022,pond_4302964d,Eluru,Organic,NO,"Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement twice a month,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate",,Maneesh,1.2,1.14,2.0,Treatment,34,,Mash,Local market,NRK deoiled rice bran
91,09/16/2022,pond_8dd26bbf,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Disease analysis by sending dead fish to lab, Weighing and measuring fish once a month",Water quality measurement twice a month,"Urea
Ammonium sulphate
Triple super phosphate
organic manures from local supplier.",,Maneesh,30.0,27.52,2.5,Treatment,72,"3 aerator, 3 water pump",Mash,Self made,NRK FEEDS
90,08/05/2022,pond_c8879b29,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Ammonium sulphate
Triple super phosphate",,Maneesh,33.0,27.2,2.5,Treatment,103,,"Pelleted feed (floating), Mash",Local market,NRK FEEDS
88,08/05/2022,pond_9a0003fb,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Urea
Triple super phosphate",,Maneesh,25.0,23.67,1.8,Treatment,99,1 water pump,"Pelleted feed (floating), Mash",Local market,NRK FEEDS
83,06/07/2022,pond_da9e5287,Nellore,Organic,,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,,2500 Rohu 100 Catla,Chandu,1.0,0.9,1.5,Treatment,72,"1 aerator, 1 water pump",Pelleted feed (floating),National supplier,IB
81,06/04/2022,pond_917e0459,Eluru,Organic,NO,"Pond preparation, Behavioural welfare assessment",Water quality measurement once a month,No,,Maneesh,17.0,13.2,3.0,Treatment,72,3 aerator,"Pelleted feed (floating), Mash",Local market,Godavari edible oils
77,04/27/2022,pond_863e7ed4,Nellore,Organic,,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,,,Chandu,3.0,2.36,1.5,Treatment,111,"2 aerator, 2 water pump","Pelleted feed (sinking), Mash",National supplier,"Godrej Prawn feed, DORB"
73,03/29/2022,pond_aabd8703,Nellore,Organic,,Weighing and measuring fish once a month,,,"Roopchand 4000
Rohu 3000
Catla 1000",Chandu,3.5,3.15,1.5,Treatment,93,"3 aerator, 2 water pump",Pelleted feed (floating),Local market,Nexus
74,03/29/2022,pond_a2a9984f,Nellore,Organic,,Weighing and measuring fish once a month,"Done Sample checking 3 days back the average weight is around 80gms
Water quality measurement when there is a disease outbreak",,"Roopchand 16000
Rohu 1000",Chandu,4.0,3.53,1.5,Treatment,80,"2 water pump, 5 Aerators","Pelleted feed (floating), DORB","Local market, National supplier",Kingmei
69,03/28/2022,pond_0b972252,Nellore,Organic,,Weighing and measuring fish once a month,Water quality measurement when there is a disease outbreak,,"Rohu 72000
Catla 8000",Chandu,22.0,21.48,2.0,Treatment,85,,Pelleted feed (sinking),National supplier,CP Sinking Feed
70,03/28/2022,pond_9719af6d,Nellore,Organic,,Weighing and measuring fish once a month,,,,Chandu,30.0,27.83,2.0,Treatment,84,"3 aerator, 8 Aerators and 10 Water Pumps",DORB,Local market,
71,03/28/2022,pond_19e0e052,Nellore,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Pond preparation",Water quality measurement when there is a disease outbreak,,"Roopchand 90000
Rohu 10000
Catla 1000
Grass Carp 1000",Chandu,20.0,17.33,2.0,Control,76,4 Water Pumps,Pelleted feed (floating),National supplier,Kingmei
68,03/16/2022,pond_680c8104,Eluru,Organic,,Pond preparation,Water quality measurement twice a month,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate
Single super phosphate",,Maneesh,50.0,41.09,2.5,Treatment,67,,Mash,Local market,Sms 9
63,02/15/2022,pond_ddf602a6,Eluru,Organic,no,"Pond preparation, Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish once a month",Water quality measurement weekly,"Manure (cow, pig, horse, poultry or other dung)
Urea
Triple super phosphate",,Maneesh,7.0,6.12,3.5,Treatment,74,2 aerator,Mash,Local market,
64,02/15/2022,pond_960111d3,Eluru,Organic,,"Behavioural welfare assessment, Physical welfare assessment, Weighing and measuring fish every two months","Sanitizing the pond
Water quality measurement once a month
Water quality measurement when there is a disease outbreak","Manure (cow, pig, horse, poultry or other dung)
Ammonium sulphate",,Maneesh,13.0,9.97,2.5,Treatment,62,"3 aerator, 2 water pump, Water quality monitoring device, Soil quality monitoring device",Mash,Local market,
59,01/31/2022,pond_ec1ee982,Nellore,Organic,,Pond preparation,,,,Chandu,1.0,0.75,1.5,Treatment,94,"3 aerator, 2 water pump",Pelleted feed (floating),Local market,
58,12/23/2021,pond_95fa2b00,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)",,Chaitanya,1.0,0.72,1.0,Treatment,120,1 water pump,He Mixes cow dung & rice husk prepare his own feed and give to the fish,Self made,
55,12/22/2021,pond_1c1e7d4b,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,,,Chaitanya,3.0,2.22,1.0,Treatment,101,"2 aerator, 3 water pump","Pelleted feed (floating), Mash",Local market,
56,12/22/2021,pond_edb67ba0,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,,,Chaitanya,1.0,0.85,1.0,Treatment,99,1 water pump,"Pelleted feed (floating), Mash",Local market,
57,12/22/2021,pond_bd0f4fd7,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement twice a month,,Fish were washed out shortly after this stocking by the floods. The farmer restocked on December 30 (see Stocking & Harvest entry).,Chaitanya,1.0,0.7,1.5,Treatment,105,"1 aerator, 2 water pump",Pelleted feed (floating),Local market,
54,11/27/2021,pond_1d648007,Nellore,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Single super phosphate
Potash
Magnesium Chloride",,Chandu,1.0,0.88,1.5,Treatment,111,"2 aerator, 2 water pump","Pelleted feed (floating), Pelleted feed (sinking), Mash",Local market,"Godawari DOP, Kingfish floating feed, CP sinking feed for shrimp"
47,11/17/2021,pond_0b18540f,Eluru,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,"Manure (cow, pig, horse, poultry or other dung)
Urea
Triple super phosphate",,Maneesh,16.0,15.52,2.0,Treatment,103,,Mash,Local market,"Dop,ground  nut cake"
52,11/17/2021,pond_7fd480e0,Eluru,Organic,,"Pond preparation, Weighing and measuring fish once a month",Water quality measurement once a month,"Urea
Triple super phosphate",,Maneesh,13.0,10.81,2.0,Control,147,,Mash,Local market,
41,11/16/2021,pond_5f9e292b,Eluru,Organic,,"Water quality measurement every two months, Weighing and measuring fish once a month",,"Manure (cow, pig, horse, poultry or other dung)
Triple super phosphate
Potash",,Maneesh,36.0,29.32,2.5,Control,119,,Mash,Local market,Godavari Dop
36,09/28/2021,pond_891bf2fe,Nellore,Organic,,Pond preparation,,,,,1.0,0.72,1.9,Treatment,74,"3 aerator, 1 water pump","Pelleted feed (sinking), DORB",Local market,DOP - Tenali brand & CP aqua sinking feed
37,09/28/2021,pond_299152dc,Nellore,Organic,,Pond preparation,,,,,1.0,0.66,1.9,Treatment,140,"1 aerator, 1 water pump","Pelleted feed (sinking), DORB",Local market,
38,09/28/2021,pond_b842374c,Nellore,Organic,,Pond preparation,,"Manure (cow, pig, horse, poultry or other dung)
Compost",,,2.5,2.31,1.9,Treatment,105,"2 aerator, 3 water pump","Pelleted feed (sinking), DORB",Local market,CP aqua & DOP
39,09/28/2021,pond_04e640c0,Nellore,,,Pond preparation,,,,,2.3,,1.5,Treatment,24,2 water pump,DORB,Local market,CP aqua & DOP
40,09/28/2021,pond_c30c0534,Nellore,Organic,,Pond preparation,,,,,2.0,1.5,1.5,Treatment,71,1 water pump,DORB,Local market,
31,06/29/2021,pond_2e1713ae,Nellore,Organic,,Pond preparation,Water quality measurement once a month,"Single super phosphate
Potash",,,6.0,5.1,2.5,Treatment,104,"2 aerator, 2 water pump","Pelleted feed (floating), DORB, Rice husk",Local market,"CP aqua feeds, SMS9, Vijaya Aqua feeds"
29,06/26/2021,pond_d01750af,Nellore,Organic,,Pond preparation,,,,,5.5,4.56,2.5,Treatment,110,"4 water pumps, NO aerators","Pelleted feed (floating), DORB, Rice husk",Local market,"CP aqua feeds, SMS9, Vijaya Aqua feeds"
22,06/23/2021,pond_cf53cb6f,Nellore,Organic,,Pond preparation,Water quality measurement twice a month,"Single super phosphate
Potash",,,5.0,4.11,2.0,Treatment,118,"3 aerator, 3 water pump","Pelleted feed (floating), Mash, Rice husk",Local market,
25,06/23/2021,pond_c0b647c8,Nellore,Organic,,Pond preparation,Water quality measurement twice a month,,,,4.0,3.7,2.5,Treatment,66,"2 aerator, 1 water pump","Pelleted feed (floating), DORB",Local market,Godrej
19,06/22/2021,pond_43720001,Nellore,Organic,,Pond preparation,Water quality measurement twice a month,"Single super phosphate
Potash",Local village Nursary ponds,,1.0,1.0,1.5,Treatment,55,"1 aerator, 1 water pump","DORB, Rice husk",Local market,
20,06/22/2021,pond_2f7733e2,Nellore,Organic,,Pond preparation,Water quality measurement twice a month,"Single super phosphate
Potash",,,1.0,1.0,1.5,Treatment,57,"2 aerator, 1 water pump","DORB, Rice husk",Local market,
17,06/21/2021,pond_373669d6,Nellore,Organic,,Pond preparation,Water quality measurement once a month,"Single super phosphate
Potash",,,2.5,1.65,3.5,Treatment,115,"1 aerator, 2 water pump","Pelleted feed (floating), Mash",Local market,Hanaqua
14,06/19/2021,pond_da579dd5,Nellore,Organic,,Pond preparation,Water quality measurement daily,,,,1.5,1.3,2.5,Treatment,78,"3 aerator, 2 water pump",DORB,Local market,
6,06/04/2021,pond_9af26ee3,Nellore,Organic,,Pond preparation,Water quality measurement once a month,,,,3.0,2.36,3.5,Treatment,80,"3 aerator, 2 water pump",Rice husk Mash,Local market,
